,title,imdb_user_rating,imdb_critic_rating,Rot_Critic Score,Rot_Audience_Score,budget,grossUSA
96,Enter the Dragon (1973),77.0,83,95,85,nan,25000000
97,Drive (2011),78.0,78,95,79,15000000 ,35060689
98,Inside Out (2015),82.0,94,98,92,175000000 ,356461711
99,Snow White and the Seven Dwarfs (1937),76.0,95,92,91,nan,184925485
100,Toy Story 3 (2010),83.0,92,94,91,200000000 ,415004880
101,Toy Story 2 (1999),79.0,88,93,93,90000000 ,245852179
102,Finding Nemo (2003),81.0,90,93,82,94000000 ,380843261
103,Pinocchio (1940),75.0,99,95,87,nan,84254167
104,Finding Dory (2016),73.0,77,96,92,200000000 ,486295561
105,Toy Story (1995),83.0,95,92,79,30000000 ,191796233
106,Shaun the Sheep Movie (2015),74.0,81,98,89,nan,19375982
107,Ratatouille (2007),80.0,96,98,78,150000000 ,206445654
108,Only Yesterday (1991),77.0,90,99,89,nan,453243
109,How to Train Your Dragon (2010),81.0,74,100,86,nan,217581231
110,The Incredibles (2004),80.0,90,98,90,92000000 ,261441092
111,Yellow Submarine (1968),74.0,78,99,86,nan,992305
112,Chicken Run (2000),70.0,88,100,72,nan,106834564
113,Beauty and the Beast (2017),72.0,65,94,84,160000000 ,504014165
114,My Life as a Zucchini (2016),78.0,85,100,92,€6500000 ,292279
115,101 Dalmatians (1996),57.0,49,99,80,75000000 ,136189294
116,The Nightmare Before Christmas (1993),80.0,82,96,87,18000000 ,75082668
117,"Monsters, Inc. (2001)",81.0,78,100,86,115000000 ,289916256
118,The Lego Batman Movie (2017),73.0,75,98,91,80000000 ,175750384
119,The Iron Giant (1999),80.0,85,97,75,nan,23159305
120,Song of the Sea (2014),81.0,85,97,84,€5300000 ,857524
121,Tower (2016),80.0,92,97,64,nan,nan
122,The Lion King (1994),85.0,83,94,92,45000000 ,312900000
123,Anomalisa (2015),73.0,88,98,87,nan,3759286
124,Your Name. (2016),84.0,79,98,75,nan,5017246
125,Waltz with Bashir (2008),80.0,91,95,91,nan,2283276
126,Persepolis (2007),81.0,90,96,83,nan,4443403
127,The Red Turtle (2016),75.0,86,96,90,nan,920057
128,The Secret World of Arrietty (2010),76.0,80,90,80,nan,19202743
129,Aladdin (1992),80.0,86,96,90,28000000 ,217350219
130,Ernest & Celestine (2012),79.0,86,99,92,nan,292562
131,Fantastic Mr. Fox (2009),78.0,83,99,89,40000000 ,21002919
132,Antz (1998),66.0,72,97,84,nan,90757863
133,Frozen (2013),75.0,74,93,93,nan,400738009
134,Ghost in the Shell (2017),64.0,52,92,70,110000000 ,40533014
135,Coraline (2009),77.0,80,97,94,60000000 ,75286229
136,How to Train Your Dragon 2 (2014),78.0,76,96,90,nan,177002924
137,Big Hero 6 (2014),78.0,74,96,92,nan,222527828
