Critic.Score,Audience_Score,imdb_user_rating,imdb_critic_rating,studio
100,95,8.2,86,United Artists
96,92,6.2,80,Walt Disney Productions
100,97,8,96,Screen Gems
100,94,6.2,66,Paramount Pictures
98,90,8.9,93,RKO Radio Pictures
96,93,7.9,77,A24
99,87,7.8,71,20th Century Fox
100,92,8.2,79,Columbia Pictures
100,87,7.5,89,Paramount Studios
98,95,7.7,84,Paramount Pictures
100,88,8.7,98,Walt Disney Pictures
98,94,7.9,76,Universal Pictures
100,90,7.4,81,United Artists
98,88,7.7,87,Pure Flix
98,93,7.9,84,Buena Vista Distribution Compa
100,85,7.2,75,The Film Arcade
100,90,7.6,82,Warner Bros. Pictures
100,91,7.1,76,Warner Bros. Pictures
96,86,7.5,94,RKO Radio Pictures
98,92,8,79,Focus Features
98,85,8.3,99,Sony Pictures Classics
96,91,3.1,30,Netflix
96,86,6.5,69,Buena Vista
98,79,6.8,60,Magnolia Pictures
97,93,7.6,95,Warner Bros. Pictures
99,86,8.3,97,Sony Pictures Classics
98,98,8.1,85,Rita Productions
97,80,7.8,68,Paramount Pictures
99,95,7.8,76,Lions Gate Films
94,82,7.3,83,Continental Distributing Inc.
95,90,7.5,73,Universal Pictures
96,90,8.1,93,Open Road Films
95,80,6.7,70,Miramax Films
97,94,7,75,Miramax Films
98,94,8.3,83,Turner Entertainment
98,93,8.6,90,Film Arts Guild
95,77,8.8,82,Universal Pictures
100,95,8,81,20th Century Fox
100,93,7.9,72,Sony Pictures
97,88,6.9,70,Fox Searchlight
97,94,8.4,84,Paramount Pictures
98,90,7.3,80,Sony Pictures Home Entertainment
97,87,8.2,100,Sony Pictures Home Entertainment
98,72,7.1,85,GKIDS
100,91,7.8,71,The Weinstein Company
94,94,8.3,94,Picturehouse
98,88,7.5,82,Paramount Pictures
99,94,8,97,Warner Bros. Pictures
100,95,7.9,91,K5 International
100,93,7.9,89,STXfilms
97,90,6.8,65,Sony Pictures Classics
95,73,8.1,69,A24
95,89,6.8,86,Sundance Selects
96,89,7.6,80,RKO
97,84,8.1,95,Liongate Films
97,97,8,86,Continental Distributing
94,94,7.6,86,MGM Home Entertainment
93,93,7.7,87,Walt Disney Pictures
94,93,6.4,81,20th Century Fox
92,93,8,85,Paramount Pictures
100,88,7,72,Paramount/Dreamworks
95,85,8.1,81,United Artists
94,91,3.8,19,Paramount Pictures
100,70,8.1,100,Disney/Pixar
95,82,7.5,68,Kino International
97,97,7.4,65,20th Century Fox
96,95,7.9,86,Paramount Pictures
98,90,7.3,90,Warner Bros. Pictures
95,90,7.5,87,United Artists
98,95,9,84,Janus Films
97,85,8.4,78,Paramount Pictures
97,56,7.2,69,Element Pictures
96,94,7.2,71,IFC Films
97,66,6.4,72,Paramount Pictures
97,87,7.4,77,Republic Pictures Home Video
91,57,7.3,70,Sony Pictures
95,91,7.5,70,Universal Pictures
98,89,8,82,Palm Pictures
96,83,7.5,79,Screen Gems
95,95,7.8,96,Magnolia Pictures
93,89,7.8,87,Open Road Films
95,89,7.2,75,Columbia Pictures
96,77,9.2,100,Walt Disney Animation Studios
98,88,9,90,Columbia Pictures
96,86,8.1,88,Focus Features
91,74,8.1,95,Lionsgate
96,75,7.8,82,New Line Home Entertainment
92,62,6.4,64,Dreamworks
94,81,6.7,82,DreamWorks SKG
93,76,5.9,35,Lionsgate
95,84,6.4,73,New Line Cinema
93,92,6.2,57,Fox Searchlight Pictures
95,82,7.6,94,Likely Story
98,74,8,73,MGM
96,88,8,90,Screen Gems
94,83,6.3,63,Universal Pictures
95,60,8,85,Warner Bros. Pictures
94,55,8.1,93,Walt Disney Pictures
94,83,8.2,88,Columbia Pictures
93,72,7.3,75,United Artists
92,83,7.8,83,GKIDS
92,93,8.5,83,Variance Films
90,86,8.9,94,Sony Pictures
91,81,8.7,87,Sony Pictures
92,92,6.2,82,Open Road Films
87,44,6.7,67,Drafthouse Films
93,90,6.6,76,20th Century Fox
91,83,5.9,46,IMAX
88,78,7.1,75,20th Century Fox
95,48,7.4,70,Twentieth Century Fox
90,82,8,99,Walt Disney Pictures
88,81,8,82,First Run Features
87,56,5.7,46,Zeitgeist Films
86,83,5.2,58,Buena Vista
86,87,7.4,79,Paramount Pictures
90,76,7.6,62,Warner Bros. Pictures
87,76,7.5,74,Universal Pictures
87,85,7.6,74,United Artists
89,89,7.1,67,Itami Productions
86,93,7.7,77,Fox Searchlight Pictures
90,70,8,96,Walt Disney Pictures
90,73,7.6,86,National Geographic
87,86,5.9,48,Columbia Pictures
91,64,8.1,77,A24 Films
90,72,7.5,86,Janus Films
86,71,7.9,91,Zenith International Films
88,85,7.6,77,Warner Bros.
88,74,7.1,67,Paramount Pictures
86,78,8,80,20th Century Fox
86,71,7.6,80,Twentieth Century Fox Home Entertainment
85,75,8.4,63,United Artists
86,80,8.6,85,Kino International
89,78,7.3,80,IFC Films
86,63,7.2,78,IFC Films
87,69,8,63,Twentieth Century Fox Home Entertainment
88,58,7.5,75,Rialto Pictures
89,54,8.1,57,Paramount Pictures
86,71,8.2,97,Amazon Studios
85,65,8.3,99,Warner Bros. Pictures
87,63,7.9,86,Picturehouse
88,70,7.6,87,Universal Pictures
84,78,7.3,77,Bryanston Pictures
83,56,7.8,83,Universal Pictures
83,92,6.8,83,Lionsgate Films
86,49,8,100,Rialto Pictures
84,79,7.9,81,Universal Pictures
84,82,7.3,52,Paramount Pictures
79,81,7,88,Rialto Pictures LLC.
84,74,8,85,Warner Bros. Pictures
83,77,8.2,86,Warner Bros. Pictures
85,87,7.5,75,MGM/UA Classics
98,83,8.1,99,Universal Pictures
100,87,8,92,Warner Bros. Pictures/Legendary
97,88,8.3,95,Warner Bros. Pictures
99,82,7.9,88,Paramount Pictures
98,94,8.3,92,Lionsgate
95,87,7.5,72,IFC Midnight
100,89,8.4,83,STX Entertainment
98,84,5.8,38,Buena Vista Pictures
98,91,8.3,88,New Line Cinema
98,90,7,35,Warner Bros. Pictures
98,87,8.3,100,Fox
98,90,8.4,95,20th Century Fox
97,89,8,91,Warner Bros. Pictures
98,92,7.5,82,Warner Bros. Pictures
95,83,7.9,78,Twentieth Century Fox Home Entertainment
94,63,5.7,65,Paramount Pictures
94,89,7.2,87,Paramount Pictures
93,86,5.9,71,Janus Films
94,88,7.6,86,Fox Searchlight
93,82,8.1,81,Sony Pictures
96,89,5.9,70,Twentieth Century Fox Home Entertainment
91,87,7.6,76,Magnolia Pictures
98,85,7.7,72,Sony Pictures Classics
98,86,8.5,88,20th Century Fox
98,75,6.5,59,Magnolia Pictures
91,91,7.7,83,Magnolia Pictures
93,91,8.1,77,Universal Pictures
92,86,8.1,79,Summit Entertainment
98,93,7.5,76,Sony Pictures Classics
96,92,7.4,73,The Weinstein Company
96,79,8,75,Buena Vista Pictures
94,88,7.4,78,Fox
95,84,8,80,Warner Bros. Pictures
90,91,8.4,79,Walt Disney Pictures
95,88,7.7,73,Kino
87,87,8,78,Sony Pictures Releasing
95,93,7.6,79,Gaumont British Picture Corporation
95,92,7.6,80,Paramount Pictures
89,79,7.6,80,Columbia Pictures
92,85,7.6,80,MGM
95,78,7.6,80,Warner Bros. Pictures
93,76,7.6,80,Universal Pictures
87,90,7.6,80,Warner Bros. Pictures
98,87,7.6,80,Buena Vista
95,92,7.6,80,Walt Disney Pictures
97,91,7.6,80,New Line Cinema
98,90,7.6,80,New Line Cinema
94,84,7.6,80,Oscilloscope Laboratories
100,90,7.6,80,20th Century Fox
94,95,7.6,80,MGM/UA Classics
100,76,7.6,80,Warner Bros. Pictures
98,80,7.6,80,Walt Disney Pictures
100,90,7.6,80,Cinerez
96,78,7.6,80,United Artists
100,85,7.6,80,Touchstone Pictures
96,90,7.6,80,Warner Bros. Pictures
99,92,7.6,79,A24
96,88,7.6,79,Fox Searchlight Pictures
98,86,7.6,79,20th Century Fox
98,88,7.6,79,Picturehouse
95,80,7.6,79,Miramax Films
96,89,7.6,79,20th Century Fox
96,79,7.6,80,Walt Disney Pictures
95,90,7.6,79,Paramount Pictures
94,92,7.6,80,Fine Line Features
91,84,7.6,80,20th Century Fox
96,88,7.6,80,20th Century Fox
95,91,7.6,80,Dreamworks
95,78,7.6,80,Sony Pictures
92,84,7.6,80,Kino International
95,89,7.6,80,The Weinstein Company
96,89,7.6,80,Warner Bros. Pictures
96,85,7.6,80,Walt Disney Pictures
95,86,7.6,80,Janus Films
88,91,7.6,79,Warner Bros. Pictures
95,93,7.6,79,Orion Pictures Corporation
93,93,7.6,79,20th Century Fox
90,76,7.6,79,Annapurna Pictures
94,78,7.6,79,20th Century-Fox
95,93,7.6,79,Bryanston Pictures
94,84,7.6,79,Paramount Pictures
91,86,7.6,80,Warner Bros. Pictures
92,73,7.6,80,Rialto Pictures
91,76,7.6,80,Foremco
93,92,7.6,80,20th Century Fox
94,85,7.6,80,20th Century Fox
87,68,7.6,80,Fox Searchlight Pictures
86,91,7.6,80,LionsGate Entertainment
93,93,7.6,80,Sony Pictures Classics
88,89,7.6,80,Warner Bros. Pictures
91,90,7.6,80,Walt Disney Pictures
92,73,7.6,80,A24 Films
87,76,7.6,80,Warner Bros. Pictures
87,84,7.6,80,Magnolia Pictures
91,90,7.6,80,Fox Searchlight Pictures
